customer_id,region,segment,signup_date
CUST00056,West,Consumer,2022-12-12
CUST00057,North,Consumer,2023-07-19
CUST00058,West,Corporate,2022-12-06
CUST00059,North,Home Office,2022-04-02
CUST00060,South,Home Office,2023-01-02
CUST00061,West,Corporate,2023-03-31
CUST00062,North,Consumer,2023-03-04
CUST00063,South,Corporate,2023-05-24
CUST00064,West,Consumer,2022-02-04
CUST00065,West,Consumer,2022-07-25
CUST00066,West,Corporate,2022-03-22
CUST00067,West,Consumer,2023-07-16
CUST00068,East,Home Office,2023-01-23
CUST00069,South,Consumer,2022-01-02
CUST00070,South,Corporate,2023-01-25
CUST00071,North,Corporate,2023-07-20
CUST00072,Central,Home Office,2022-04-16
CUST00073,East,Corporate,2023-04-22
CUST00074,South,Corporate,2023-12-04
CUST00075,East,Consumer,2023-02-06
CUST00076,Central,Consumer,2023-07-10
CUST00077,North,Consumer,2022-06-11
CUST00078,East,Corporate,2022-07-21
CUST00079,East,Consumer,2022-09-27
CUST00080,West,Corporate,2022-09-28
CUST00081,North,Consumer,2023-04-01
CUST00082,Central,Consumer,2023-04-07
CUST00083,Central,Corporate,2023-12-28
CUST00084,East,Consumer,2022-09-09
CUST00085,West,Consumer,2023-12-03
CUST00086,Central,Consumer,2022-10-23
CUST00087,West,Home Office,2023-12-26
CUST00088,North,Corporate,2023-12-21
CUST00089,East,Consumer,2022-12-04
CUST00090,West,Consumer,2022-02-22
CUST00091,East,Consumer,2022-08-05
CUST00092,West,Corporate,2022-07-07
CUST00093,Central,Corporate,2023-01-15
CUST00094,Central,Consumer,2023-05-08
CUST00095,East,Consumer,2022-02-10
CUST00096,North,Consumer,2022-06-06
CUST00097,Central,Corporate,2022-01-15
CUST00098,West,Corporate,2022-03-06
CUST00099,North,Consumer,2023-06-05
CUST00100,Central,Consumer,2022-12-10
CUST00101,Central,Consumer,2022-05-09
CUST00102,East,Home Office,2023-10-10
CUST00103,East,Consumer,2023-04-17
CUST00104,South,Corporate,2022-03-04
CUST00105,North,Corporate,2022-05-19
CUST00106,South,Consumer,2023-05-14
CUST00107,West,Consumer,2023-08-16
CUST00108,North,Consumer,2023-01-27
CUST00109,South,Corporate,2023-11-06
CUST00110,South,Corporate,2023-02-23
CUST00111,East,Corporate,2022-10-16
CUST00112,Central,Consumer,2023-01-14
CUST00113,South,Consumer,2023-05-05
CUST00114,South,Home Office,2022-08-19
CUST00115,West,Corporate,2022-02-10
CUST00116,East,Consumer,2022-01-28
CUST00117,South,Home Office,2022-05-15
CUST00118,East,Corporate,2022-07-20
CUST00119,North,Corporate,2022-02-02
CUST00120,North,Corporate,2022-02-17
CUST00121,East,Corporate,2023-05-18
CUST00122,South,Corporate,2023-02-11
CUST00123,Central,Consumer,2023-07-28
CUST00124,South,Consumer,2023-12-29
CUST00125,East,Home Office,2022-04-09
CUST00126,West,Consumer,2023-11-15
CUST00127,North,Consumer,2023-12-27
CUST00128,West,Consumer,2023-07-01
CUST00129,North,Consumer,2023-09-05
CUST00130,Central,Corporate,2023-04-07
CUST00131,North,Home Office,2023-10-05
CUST00132,South,Consumer,2022-01-05
CUST00133,North,Consumer,2022-08-06
CUST00134,Central,Consumer,2023-05-18
CUST00135,East,Home Office,2023-02-02
CUST00136,East,Corporate,2023-01-28
CUST00137,North,Consumer,2022-07-26
CUST00138,West,Corporate,2022-01-15
CUST00139,North,Home Office,2023-07-08
CUST00140,Central,Corporate,2023-04-06
CUST00141,North,Home Office,2023-11-22
CUST00142,North,Consumer,2023-07-29
CUST00143,North,Corporate,2022-08-29
CUST00144,East,Consumer,2023-07-18
CUST00145,East,Corporate,2022-04-06
CUST00146,North,Corporate,2023-04-30
CUST00147,West,Corporate,2023-02-11
CUST00148,East,Corporate,2022-08-19
CUST00149,East,Consumer,2023-10-17
CUST00150,East,Consumer,2022-06-20
CUST00151,South,Home Office,2023-06-25
CUST00152,East,Home Office,2022-02-05
CUST00153,North,Consumer,2023-06-09
CUST00154,North,Consumer,2022-06-09
CUST00155,Central,Consumer,2023-11-30
CUST00156,Central,Corporate,2022-08-31
CUST00157,South,Corporate,2022-03-27
CUST00158,South,Consumer,2023-08-01
CUST00159,West,Consumer,2023-11-13
CUST00160,South,Corporate,2023-07-11
CUST00161,North,Corporate,2023-07-28
CUST00162,North,Consumer,2023-10-08
CUST00163,West,Corporate,2022-01-28
CUST00164,West,Consumer,2023-09-12
CUST00165,North,Consumer,2023-07-10
CUST00166,South,Corporate,2022-12-06
CUST00167,South,Corporate,2022-11-27
CUST00168,West,Home Office,2023-10-02
CUST00169,North,Corporate,2023-05-21
CUST00170,North,Corporate,2022-12-14
CUST00171,West,Consumer,2023-04-18
CUST00172,North,Consumer,2022-08-19
CUST00173,West,Consumer,2022-07-09
CUST00174,South,Consumer,2022-08-13
CUST00175,North,Corporate,2023-01-20
CUST00176,South,Home Office,2023-01-12
CUST00177,West,Consumer,2022-10-10
CUST00178,Central,Consumer,2023-09-25
CUST00179,West,Corporate,2023-09-20
CUST00180,South,Consumer,2022-09-16
CUST00181,West,Corporate,2022-12-25
CUST00182,North,Corporate,2023-12-11
CUST00183,South,Corporate,2023-04-01
CUST00184,Central,Consumer,2023-02-15
CUST00185,North,Consumer,2023-10-11
CUST00186,North,Corporate,2022-11-14
CUST00187,North,Corporate,2023-11-08
CUST00188,North,Consumer,2022-08-13
CUST00189,North,Corporate,2022-08-22
CUST00190,East,Consumer,2023-11-15
CUST00191,East,Corporate,2023-10-26
CUST00192,Central,Consumer,2023-01-09
CUST00193,West,Home Office,2023-11-03
CUST00194,South,Consumer,2023-08-31
CUST00195,South,Consumer,2023-04-17
CUST00196,South,Consumer,2022-08-21
CUST00197,East,Consumer,2023-11-23
CUST00198,South,Home Office,2022-04-23
CUST00199,West,Home Office,2023-05-12
CUST00200,South,Consumer,2023-03-18
CUST00201,East,Consumer,2023-07-18
CUST00202,East,Corporate,2022-09-25
CUST00203,South,Home Office,2023-05-25
CUST00204,Central,Corporate,2023-01-21
CUST00205,West,Consumer,2023-01-22
CUST00206,North,Consumer,2022-04-23
CUST00207,Central,Corporate,2023-09-05
CUST00208,East,Consumer,2023-09-17
CUST00209,Central,Corporate,2022-03-22
CUST00210,West,Consumer,2023-11-30
CUST00211,East,Corporate,2022-04-23
CUST00212,North,Consumer,2022-01-02
CUST00213,South,Corporate,2023-10-04
CUST00214,East,Consumer,2022-08-08
CUST00215,West,Corporate,2023-07-20
CUST00216,South,Consumer,2022-08-13
CUST00217,North,Corporate,2023-01-20
CUST00218,West,Corporate,2023-02-07
CUST00219,Central,Corporate,2023-09-30
CUST00220,East,Corporate,2022-05-10
CUST00221,North,Corporate,2022-02-22
CUST00222,South,Corporate,2023-11-15
CUST00223,North,Consumer,2023-11-03
CUST00224,Central,Corporate,2023-12-11
CUST00225,North,Consumer,2023-02-20
CUST00226,East,Consumer,2022-09-04
CUST00227,South,Consumer,2023-03-15
CUST00228,East,Consumer,2022-07-22
CUST00229,West,Corporate,2022-07-03
CUST00230,West,Corporate,2022-05-03
CUST00231,North,Corporate,2023-02-05
CUST00232,North,Consumer,2022-10-21
CUST00233,North,Consumer,2022-10-07
CUST00234,Central,Consumer,2023-09-02
CUST00235,Central,Consumer,2022-07-17
CUST00236,East,Consumer,2023-05-26
CUST00237,West,Consumer,2022-05-24
CUST00238,West,Consumer,2023-09-01
CUST00239,North,Corporate,2022-07-20
CUST00240,Central,Corporate,2022-05-04
CUST00241,South,Home Office,2022-07-06
CUST00242,South,Home Office,2022-11-22
CUST00243,East,Corporate,2023-04-09
CUST00244,North,Consumer,2022-12-15
CUST00245,North,Corporate,2023-10-22
CUST00246,West,Corporate,2023-02-07
CUST00247,North,Consumer,2022-12-12
CUST00248,West,Consumer,2023-05-26
CUST00249,South,Corporate,2022-05-27
CUST00250,South,Consumer,2022-05-28
CUST00251,South,Corporate,2023-12-12
CUST00252,South,Corporate,2023-05-04
CUST00253,West,Consumer,2023-10-02
CUST00254,South,Consumer,2023-07-05
CUST00255,East,Consumer,2022-12-04
CUST00256,East,Consumer,2023-10-03
CUST00257,West,Consumer,2023-04-18
CUST00258,Central,Corporate,2022-05-31
CUST00259,West,Consumer,2023-02-19
CUST00260,North,Consumer,2022-10-25
CUST00261,North,Consumer,2023-09-03
CUST00262,South,Home Office,2022-09-20
CUST00263,East,Consumer,2022-05-24
CUST00264,North,Consumer,2022-12-12
CUST00265,East,Home Office,2023-09-16
CUST00266,East,Corporate,2023-07-26
CUST00267,South,Consumer,2022-01-02
CUST00268,West,Corporate,2022-10-31
CUST00269,North,Consumer,2022-09-11
CUST00270,North,Consumer,2023-10-14
CUST00271,West,Consumer,2023-03-29
CUST00272,East,Consumer,2022-02-06
CUST00273,West,Corporate,2022-06-09
CUST00274,East,Consumer,2022-01-09
CUST00275,South,Consumer,2022-08-21
CUST00276,West,Corporate,2022-04-09
CUST00277,West,Corporate,2023-10-21
CUST00278,West,Consumer,2022-07-27
CUST00279,South,Corporate,2022-05-11
CUST00280,East,Consumer,2023-02-08
CUST00281,South,Corporate,2022-06-01
CUST00282,North,Corporate,2022-02-23
CUST00283,Central,Home Office,2022-04-30
CUST00284,North,Consumer,2023-11-04
CUST00285,Central,Consumer,2023-09-20
CUST00286,East,Consumer,2023-08-10
CUST00287,North,Consumer,2023-09-17
CUST00288,East,Consumer,2023-02-24
CUST00289,Central,Home Office,2023-02-26
CUST00290,West,Consumer,2022-04-14
CUST00291,West,Consumer,2022-09-11
CUST00292,West,Corporate,2022-08-15
CUST00293,West,Consumer,2022-04-22
CUST00294,West,Corporate,2023-05-25
CUST00295,South,Consumer,2023-04-18
CUST00296,East,Consumer,2022-04-09
CUST00297,South,Consumer,2022-06-02
CUST00298,Central,Consumer,2022-12-04
CUST00299,Central,Home Office,2023-12-07
CUST00300,North,Consumer,2022-06-12
CUST00301,West,Consumer,2023-12-21
CUST00302,Central,Consumer,2023-11-12
CUST00303,North,Consumer,2022-06-10
CUST00304,East,Home Office,2023-08-03
CUST00305,Central,Consumer,2023-02-02
CUST00306,North,Corporate,2022-10-04
CUST00307,West,Home Office,2023-05-19
CUST00308,South,Corporate,2023-01-27
CUST00309,Central,Home Office,2022-05-15
CUST00310,Central,Consumer,2022-07-14
CUST00311,Central,Consumer,2023-02-05
CUST00312,East,Consumer,2023-10-02
CUST00313,Central,Corporate,2022-02-02
CUST00314,West,Home Office,2023-11-19
CUST00315,South,Consumer,2023-04-05
CUST00316,West,Corporate,2023-04-15
CUST00317,North,Consumer,2023-01-10
CUST00318,East,Corporate,2022-01-22
CUST00319,South,Consumer,2023-11-01
CUST00320,North,Home Office,2022-02-07
CUST00321,North,Corporate,2022-08-18
CUST00322,West,Consumer,2022-12-31
CUST00323,South,Consumer,2023-07-17
CUST00324,West,Consumer,2023-03-14
CUST00325,North,Consumer,2022-10-10
CUST00326,South,Consumer,2022-01-27
CUST00327,East,Home Office,2022-08-14
CUST00328,West,Corporate,2022-10-04
CUST00329,South,Consumer,2023-09-01
CUST00330,West,Consumer,2022-10-11
CUST00331,Central,Home Office,2023-04-26
CUST00332,West,Corporate,2023-03-29
CUST00333,South,Consumer,2023-10-21
CUST00334,North,Corporate,2023-05-31
CUST00335,Central,Consumer,2023-07-01
CUST00336,North,Consumer,2022-07-11
CUST00337,Central,Consumer,2022-02-18
CUST00338,East,Consumer,2023-05-27
CUST00339,Central,Consumer,2022-01-17
CUST00340,West,Home Office,2022-06-21
CUST00341,Central,Corporate,2022-08-08
CUST00342,South,Corporate,2022-06-07
CUST00343,West,Consumer,2023-04-22
CUST00344,South,Consumer,2022-02-15
CUST00345,East,Corporate,2023-01-08
CUST00346,West,Consumer,2023-06-02
CUST00347,Central,Consumer,2022-04-09
CUST00348,Central,Consumer,2022-02-06
CUST00349,West,Corporate,2022-10-07
CUST00350,South,Consumer,2022-12-15
CUST00351,East,Consumer,2023-05-12
CUST00352,West,Corporate,2022-10-29
CUST00353,South,Consumer,2022-06-30
CUST00354,North,Consumer,2023-08-30
CUST00355,South,Consumer,2022-04-09
CUST00356,South,Consumer,2023-12-01
CUST00357,South,Corporate,2022-04-26
CUST00358,South,Consumer,2022-07-10
CUST00359,North,Consumer,2022-09-10
CUST00360,North,Home Office,2022-06-10
CUST00361,Central,Home Office,2022-09-13
CUST00362,East,Home Office,2022-11-19
CUST00363,South,Consumer,2022-05-08
CUST00364,West,Consumer,2022-01-18
CUST00365,North,Home Office,2023-07-20
CUST00366,Central,Corporate,2023-07-24
CUST00367,West,Consumer,2022-11-19
CUST00368,North,Consumer,2023-11-17
CUST00369,South,Consumer,2023-09-18
CUST00370,Central,Home Office,2022-10-15
CUST00371,Central,Consumer,2023-10-25
CUST00372,East,Consumer,2023-10-01
CUST00373,West,Consumer,2022-06-04
CUST00374,North,Corporate,2023-05-05
CUST00375,Central,Corporate,2023-01-21
CUST00376,South,Consumer,2022-04-14
CUST00377,Central,Corporate,2023-01-28
CUST00378,West,Home Office,2022-09-03
CUST00379,West,Consumer,2022-06-25
CUST00380,East,Consumer,2022-02-08
CUST00381,South,Consumer,2023-04-22
CUST00382,North,Corporate,2023-11-13
CUST00383,South,Corporate,2023-06-22
CUST00384,North,Corporate,2023-02-12
CUST00385,West,Corporate,2023-06-09
CUST00386,South,Consumer,2023-05-21
CUST00387,North,Home Office,2022-02-05
CUST00388,Central,Consumer,2023-11-16
CUST00389,Central,Consumer,2022-01-20
CUST00390,Central,Corporate,2022-11-17
CUST00391,Central,Corporate,2023-05-27
CUST00392,North,Consumer,2023-02-04
CUST00393,South,Home Office,2023-10-16
CUST00394,West,Home Office,2023-04-16
CUST00395,West,Consumer,2022-05-23
CUST00396,North,Home Office,2022-04-02
CUST00397,West,Consumer,2022-12-20
CUST00398,South,Consumer,2023-12-28
CUST00399,South,Consumer,2022-02-20
CUST00400,East,Home Office,2023-10-27
CUST00401,East,Corporate,2023-11-29
CUST00402,East,Consumer,2023-07-29
CUST00403,North,Consumer,2022-07-09
CUST00404,Central,Corporate,2022-05-05
CUST00405,South,Consumer,2022-05-30
CUST00406,North,Home Office,2022-11-10
CUST00407,Central,Corporate,2023-07-24
CUST00408,Central,Consumer,2022-12-08
CUST00409,Central,Home Office,2022-11-01
CUST00410,West,Consumer,2023-11-23
CUST00411,West,Home Office,2023-11-13
CUST00412,East,Corporate,2022-02-23
CUST00413,North,Corporate,2023-03-20
CUST00414,South,Consumer,2023-09-05
CUST00415,South,Home Office,2022-09-21
CUST00416,South,Consumer,2022-02-22
CUST00417,West,Consumer,2023-07-26
CUST00418,East,Consumer,2023-09-12
CUST00419,North,Corporate,2022-01-05
CUST00420,South,Consumer,2022-04-13
CUST00421,West,Corporate,2022-07-15
CUST00422,North,Home Office,2022-12-16
CUST00423,Central,Consumer,2022-02-16
CUST00424,East,Corporate,2023-10-18
CUST00425,East,Consumer,2022-09-26
CUST00426,East,Home Office,2023-01-05
CUST00427,West,Corporate,2023-09-28
CUST00428,South,Consumer,2022-04-16
CUST00429,West,Corporate,2023-11-01
CUST00430,East,Consumer,2023-10-21
CUST00431,South,Consumer,2023-10-19
CUST00432,Central,Corporate,2022-04-30
CUST00433,West,Consumer,2023-08-27
CUST00434,West,Consumer,2022-02-27
CUST00435,Central,Consumer,2022-12-12
CUST00436,Central,Corporate,2023-04-19
CUST00437,West,Consumer,2022-04-27
CUST00438,West,Consumer,2022-05-07
CUST00439,West,Corporate,2023-01-28
CUST00440,West,Corporate,2023-10-03
CUST00441,West,Consumer,2022-02-27
CUST00442,West,Consumer,2023-09-26
CUST00443,North,Consumer,2023-05-28
CUST00444,Central,Consumer,2022-04-06
CUST00445,Central,Consumer,2023-09-30
CUST00446,North,Corporate,2022-04-28
CUST00447,West,Corporate,2023-07-14
CUST00448,North,Corporate,2023-08-24
CUST00449,South,Consumer,2023-05-03
CUST00450,West,Corporate,2022-08-25
CUST00451,North,Consumer,2022-09-29
CUST00452,West,Home Office,2022-07-08
CUST00453,West,Corporate,2023-12-05
CUST00454,East,Consumer,2023-03-23
CUST00455,North,Corporate,2023-08-04
CUST00456,South,Consumer,2022-09-04
CUST00457,West,Corporate,2022-03-17
CUST00458,Central,Consumer,2022-06-03
CUST00459,West,Consumer,2023-10-18
CUST00460,South,Home Office,2023-03-11
CUST00461,West,Consumer,2022-03-27
CUST00462,East,Corporate,2023-11-28
CUST00463,West,Consumer,2022-10-12
CUST00464,North,Corporate,2022-08-08
CUST00465,West,Corporate,2022-03-10
CUST00466,East,Consumer,2022-02-16
CUST00467,Central,Consumer,2022-04-04
CUST00468,South,Consumer,2023-03-29
CUST00469,West,Consumer,2022-07-23
CUST00470,Central,Consumer,2022-08-06
CUST00471,North,Corporate,2023-04-19
CUST00472,Central,Home Office,2023-03-08
CUST00473,West,Home Office,2022-12-07
CUST00474,North,Corporate,2023-07-05
CUST00475,South,Corporate,2023-09-04
CUST00476,West,Corporate,2022-10-16
CUST00477,North,Consumer,2022-09-11
CUST00478,East,Home Office,2022-12-23
CUST00479,South,Corporate,2022-01-23
CUST00480,West,Corporate,2023-06-06
CUST00481,North,Consumer,2022-04-10
CUST00482,Central,Consumer,2022-06-29
CUST00483,Central,Consumer,2022-08-11
CUST00484,Central,Home Office,2023-10-21
CUST00485,West,Consumer,2023-03-18
CUST00486,North,Consumer,2023-08-31
CUST00487,West,Home Office,2022-11-21
CUST00488,North,Consumer,2023-05-31
CUST00489,North,Consumer,2022-01-16
CUST00490,South,Consumer,2022-12-02
CUST00491,East,Corporate,2022-09-15
CUST00492,West,Home Office,2023-05-12
CUST00493,West,Consumer,2022-06-09
CUST00494,East,Home Office,2023-04-20
CUST00495,South,Consumer,2023-10-26
CUST00496,Central,Home Office,2023-11-21
CUST00497,East,Corporate,2023-11-06
CUST00498,East,Corporate,2023-01-15
CUST00499,North,Consumer,2023-06-29
CUST00500,West,Home Office,2023-11-22
CUST00501,West,Corporate,2023-03-03
CUST00502,South,Consumer,2023-09-05
CUST00503,North,Corporate,2022-09-25
CUST00504,West,Consumer,2023-07-31
CUST00505,West,Home Office,2023-02-21
CUST00506,South,Consumer,2022-06-17
CUST00507,Central,Corporate,2022-02-12
CUST00508,North,Consumer,2023-07-10
CUST00509,East,Consumer,2022-10-12
CUST00510,Central,Consumer,2023-02-01
CUST00511,South,Consumer,2022-01-12
CUST00512,West,Consumer,2023-08-30
CUST00513,South,Consumer,2022-10-29
CUST00514,South,Corporate,2022-09-10
CUST00515,Central,Consumer,2023-05-14
CUST00516,South,Consumer,2022-02-04
CUST00517,Central,Corporate,2023-12-28
CUST00518,South,Consumer,2022-03-31
CUST00519,North,Home Office,2023-08-28
CUST00520,North,Home Office,2023-08-25
CUST00521,West,Corporate,2023-02-22
CUST00522,South,Corporate,2022-04-25
CUST00523,Central,Home Office,2023-09-09
CUST00524,East,Consumer,2022-07-15
CUST00525,Central,Consumer,2023-05-16
CUST00526,North,Consumer,2023-09-18
CUST00527,Central,Corporate,2023-05-08
CUST00528,West,Consumer,2022-03-16
CUST00529,West,Corporate,2023-02-17
CUST00530,West,Home Office,2023-01-11
CUST00531,West,Home Office,2023-02-24
CUST00532,West,Consumer,2023-12-30
CUST00533,North,Consumer,2022-10-04
CUST00534,North,Corporate,2023-11-07
CUST00535,Central,Corporate,2023-01-29
CUST00536,West,Consumer,2023-04-02
CUST00537,West,Consumer,2022-07-11
CUST00538,East,Home Office,2023-11-20
CUST00539,North,Corporate,2022-04-09
CUST00540,North,Corporate,2023-07-02
CUST00541,West,Home Office,2022-04-06
CUST00542,East,Corporate,2023-10-26
CUST00543,North,Consumer,2023-10-25
CUST00544,East,Consumer,2022-07-09
CUST00545,North,Consumer,2022-02-06
CUST00546,East,Consumer,2023-01-04
CUST00547,South,Corporate,2023-11-26
CUST00548,West,Corporate,2023-06-09
CUST00549,South,Home Office,2022-10-06
CUST00550,East,Consumer,2022-08-05
CUST00551,North,Corporate,2022-09-30
CUST00552,North,Corporate,2022-03-03
CUST00553,South,Corporate,2023-08-19
CUST00554,East,Corporate,2023-12-30
CUST00555,West,Consumer,2022-12-08
CUST00556,South,Consumer,2023-02-01
CUST00557,West,Consumer,2023-11-30
CUST00558,Central,Consumer,2022-01-19
CUST00559,West,Consumer,2022-06-26
CUST00560,North,Corporate,2023-09-04
CUST00561,East,Home Office,2023-01-31
CUST00562,North,Corporate,2023-03-21
CUST00563,South,Corporate,2022-08-21
CUST00564,Central,Consumer,2022-03-17
CUST00565,North,Corporate,2022-09-22
CUST00566,East,Consumer,2023-03-31
CUST00567,West,Consumer,2023-12-19
CUST00568,West,Consumer,2023-01-19
CUST00569,East,Consumer,2023-07-18
CUST00570,North,Consumer,2023-05-21
CUST00571,South,Consumer,2023-01-02
CUST00572,East,Consumer,2022-05-24
CUST00573,North,Home Office,2022-03-10
CUST00574,South,Consumer,2022-04-09
CUST00575,North,Consumer,2023-01-31
CUST00576,North,Consumer,2022-01-25
CUST00577,South,Corporate,2023-04-14
CUST00578,North,Consumer,2023-04-29
CUST00579,East,Consumer,2023-07-19
CUST00580,West,Consumer,2022-05-31
CUST00581,West,Consumer,2022-05-24
CUST00582,North,Consumer,2023-07-23
CUST00583,North,Consumer,2022-02-08
CUST00584,North,Consumer,2022-04-19
CUST00585,West,Consumer,2023-11-24
CUST00586,West,Consumer,2022-02-11
CUST00587,North,Corporate,2022-07-05
CUST00588,Central,Corporate,2023-02-02
CUST00589,North,Consumer,2022-08-11
CUST00590,East,Consumer,2023-09-26
CUST00591,West,Home Office,2022-05-13
CUST00592,Central,Consumer,2022-06-12
CUST00593,West,Consumer,2022-08-03
CUST00594,West,Corporate,2022-08-23
CUST00595,South,Consumer,2023-10-20
CUST00596,West,Consumer,2023-08-11
CUST00597,North,Consumer,2022-01-09
CUST00598,Central,Home Office,2022-03-15
CUST00599,East,Consumer,2023-05-07
CUST00600,West,Corporate,2022-09-10
CUST00601,East,Home Office,2022-08-18
CUST00602,West,Consumer,2023-06-03
CUST00603,East,Consumer,2022-06-23
CUST00604,West,Consumer,2023-10-15
CUST00605,North,Consumer,2022-06-17
CUST00606,North,Consumer,2022-06-19
CUST00607,South,Home Office,2023-01-28
CUST00608,North,Corporate,2023-09-26
CUST00609,Central,Corporate,2022-07-13
CUST00610,North,Consumer,2023-06-01
CUST00611,Central,Corporate,2022-01-29
CUST00612,South,Home Office,2022-06-14
CUST00613,North,Corporate,2023-02-26
CUST00614,West,Consumer,2022-12-05
CUST00615,West,Corporate,2023-10-10
CUST00616,East,Consumer,2023-05-11
CUST00617,East,Consumer,2022-12-31
CUST00618,West,Consumer,2022-12-08
CUST00619,South,Corporate,2023-05-15
CUST00620,Central,Corporate,2023-10-19
CUST00621,Central,Consumer,2023-05-26
CUST00622,West,Consumer,2022-11-23
CUST00623,North,Consumer,2022-08-05
CUST00624,West,Consumer,2022-10-28
CUST00625,North,Consumer,2022-05-12
CUST00626,North,Consumer,2022-03-11
CUST00627,South,Corporate,2022-09-09
CUST00628,East,Consumer,2023-02-19
CUST00629,Central,Consumer,2023-03-21
CUST00630,West,Consumer,2022-07-01
CUST00631,West,Home Office,2022-06-16
CUST00632,East,Corporate,2022-04-01
CUST00633,South,Corporate,2023-12-15
CUST00634,South,Consumer,2023-06-15
CUST00635,Central,Corporate,2022-02-08
CUST00636,North,Consumer,2022-05-06
CUST00637,Central,Corporate,2023-03-27
CUST00638,East,Home Office,2022-06-22
CUST00639,East,Corporate,2023-10-15
CUST00640,West,Home Office,2022-08-08
CUST00641,East,Corporate,2023-09-30
CUST00642,Central,Consumer,2022-02-27
CUST00643,Central,Home Office,2023-10-22
CUST00644,East,Consumer,2023-04-21
CUST00645,South,Consumer,2023-04-01
CUST00646,East,Consumer,2022-12-27
CUST00647,Central,Consumer,2022-01-01
CUST00648,North,Consumer,2023-01-22
CUST00649,West,Consumer,2022-12-14
CUST00650,West,Consumer,2022-07-09
CUST00651,West,Corporate,2023-05-20
CUST00652,North,Consumer,2022-07-10
CUST00653,West,Consumer,2023-05-23
CUST00654,Central,Corporate,2023-01-04
CUST00655,North,Consumer,2023-02-13
CUST00656,South,Corporate,2022-04-27
CUST00657,Central,Corporate,2022-05-14
CUST00658,North,Corporate,2022-02-27
CUST00659,Central,Corporate,2023-07-10
CUST00660,East,Consumer,2023-11-16
CUST00661,South,Corporate,2023-11-03
CUST00662,Central,Consumer,2022-06-22
CUST00663,East,Consumer,2022-05-29
CUST00664,East,Corporate,2022-03-21
CUST00665,South,Consumer,2022-08-01
CUST00666,East,Corporate,2022-07-22
CUST00667,North,Corporate,2022-08-17
CUST00668,South,Home Office,2023-11-07
CUST00669,Central,Home Office,2022-08-15
CUST00670,South,Consumer,2023-10-21
CUST00671,West,Consumer,2023-06-16
CUST00672,South,Corporate,2023-03-17
CUST00673,West,Consumer,2023-02-06
CUST00674,North,Corporate,2022-02-16
CUST00675,Central,Corporate,2022-08-21
CUST00676,East,Corporate,2022-11-01
CUST00677,South,Consumer,2023-06-10
CUST00678,North,Consumer,2022-05-23
CUST00679,North,Consumer,2023-02-19
CUST00680,East,Consumer,2023-05-28
CUST00681,South,Home Office,2023-01-08
CUST00682,West,Consumer,2023-07-20
CUST00683,East,Consumer,2022-09-16
CUST00684,South,Consumer,2023-10-18
CUST00685,West,Corporate,2023-04-16
CUST00686,West,Corporate,2022-01-12
CUST00687,North,Consumer,2022-11-26
CUST00688,North,Consumer,2022-12-24
CUST00689,North,Consumer,2023-02-12
CUST00690,West,Consumer,2023-10-30
CUST00691,West,Corporate,2023-01-08
CUST00692,East,Corporate,2022-01-08
